num_s: 13
num_e: 13
Iteration 1: LL: -44.74794196630024, ll_diff: inf
Iteration 332: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 333: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 334: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 335: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 336: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 337: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 338: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 339: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 340: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 341: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 342: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 343: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 344: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 345: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 346: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 347: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 348: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 349: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 350: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 351: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 352: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 353: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 354: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 355: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 356: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 357: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 358: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 359: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 360: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 361: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 362: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 363: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 364: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 365: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 366: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 367: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 368: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 369: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 370: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 371: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 372: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 373: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 374: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 375: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 376: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 377: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 378: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 379: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 380: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 381: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 382: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 383: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 384: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 385: LL: -59.7571810776991, ll_diff: 16.056186333713462
Iteration 386: LL: -43.66845959403453, ll_diff: 16.08872148366457
Iteration 387: LL: -59.44818789448742, ll_diff: 15.779728300452888
Iteration 388: LL: -43.70099474398564, ll_diff: 15.74719315050178
Iteration 389: LL: -59.7571810776991, ll_diff: 16.056186333713462
